Designator,Mid X,Mid Y,Rotation,Layer
R7,69.342,-104.648,180.0,top
R70,99.822,-73.66,0.0,top
R71,95.72275,-88.6075,0.0,top
R72,99.854,-71.12,0.0,top
R73,95.72275,-86.3215,0.0,top
R74,74.422,-44.958,90.0,top
R75,80.01,-44.942,90.0,top
R76,77.216,-44.942,90.0,top
R77,182.626,-99.044,90.0,bottom
R79,219.3405,-78.74,0.0,bottom
R8,153.314,-93.913,0.0,top
R80,219.3405,-76.255,0.0,bottom
R81,134.0,-134.5,90.0,bottom
R82,136.95,-134.5,90.0,bottom
R83,164.0,-134.5,90.0,bottom
R84,167.25,-134.5,90.0,bottom
R85,179.05,-134.604,90.0,bottom
R86,182.0,-134.604,90.0,bottom
R9,67.809,-119.34,90.0,bottom
SW1,148.996,-89.595,180.0,top
U1,82.9735,-96.907,180.0,top
U10,100.33,-64.516,90.0,top
U11,95.32175,-80.0455,90.0,top
U12,193.4385,-101.3315,90.0,top
U2,133.35,-104.902,90.0,top
U3,211.836,-110.998,90.0,bottom
U4,212.75,-99.5,90.0,bottom
U5,212.852,-91.186,0.0,bottom
U6,146.431,-125.665,180.0,top
U7,183.11,-86.804,270.0,bottom
U8,130.922,-76.113,0.0,top
U9,182.427,-64.8595,0.0,top
Y1,152.2615,-104.596,270.0,top
